,genre,keywords,director,popularity,tagline,original_title,imdb_id,id
1568,comedy music,beatles cult mad music musical scientist the,Richard Lester,10.045007,stop worrying! help! is on the way!,Help!,59260,1568
1569,drama,age based beach body brother brother brother car coming dead diary female incest kite lotion motion narration novel nudity nudity of on on puberty relationship relationship rubbing scene sister slow someone sports sunbathing suntan,Andrew Birkin,15.975485,love knows no limits.,The Cement Garden,106535,1569
1570,animation family,aftercreditsstinger animal button door dream duringcreditsstinger eye home new parallel secret stuffed world,Henry Selick,16.639915,be careful what you wish for.,Coraline,327597,1570
1571,action thriller,convict escape escapee film from independent prison,Rupert Wyatt,10.430028,5 men. 4 walls. 1 plan.,The Escapist,961728,1571
1572,action adventure fiction science thriller,attack cobra evil explosion government hostage laser murder president revenge scientist secret technology terrorist warhead,Stephen Sommers,11.787058,"when all else fails, they don't.",G.I. Joe: The Rise of Cobra,1046173,1572
1573,adventure animation family,bear child feral gong jungle lost mango musical orphan river sequel shake tiger village vulture,Steve Trenbirth,10.605851,feel the jungle beat,The Jungle Book 2,283426,1573
1574,action adventure animation drama fantasy fiction romance science,dystopia,Keiichi Sugiyama,11.02494,"together, we can face the future...",銀色の髪のアギト,493247,1574
1575,drama,film honor independent maid of sister,Jonathan Demme,13.44059,,Rachel Getting Married,1084950,1575
1576,action crime thriller,boardwalk director investigation police woman,Mimi Leder,11.923981,never trust a thief.,Thick as Thieves,1112782,1576
1577,comedy drama romance,director woman,Amy Heckerling,11.414893,find yourself. in love.,I Could Never Be Your Woman,466839,1577
1578,animation comedy,alien booth feminism future head in jar life-form megaphone nixon phone richard wormhole,Peter Avanzino,13.284811,all the other galaxies will be green with envy!,Futurama: Into the Wild Green Yonder,1054487,1578
1579,crime drama horror thriller,blood chase death detective drug evil investigation neo-noir police psychopath revenge slasher torture violence,Tom Shankland,10.543375,would you kill the one you love to save yourself from death?,WΔZ,804552,1579
1580,action adventure drama thriller,sport,Walter Hill,13.35278,two enemies ... the mob ... the ultimate showdown.,Undisputed,281322,1580
1581,animation drama romance,anime childhood country countryside flashback flower folk life marriage memory music re-release school,Isao Takahata,10.831775,i’m going on a trip with me,おもひでぽろぽろ,102587,1581
1582,comedy drama romance,competition figure ice sequel skating skating sport sport,Stuart Gillard,10.975587,,The Cutting Edge 3: Chasing the Dream,1110626,1582
1583,action crime thriller action crime thriller,absurdism chase cigarette club duringcreditsstinger electric electrocution female flashback foot gang godzilla heart horse mansion nudity prostitute public race sequel sex shock shootout smoking strip surgery syndrome taser tourette ultraviolence absurdism chase cigarette club duringcreditsstinger electric electrocution female flashback foot gang godzilla heart horse mansion nudity prostitute public race sequel sex shock shootout smoking strip surgery syndrome taser tourette ultraviolence,Brian Taylor,10.044642,"stay charged, stay alive!",Crank: High Voltage,1121931,1583
1584,drama romance,best drummer female friend movie school teen tomboy,Howard Deutch,10.208658,"before they could stand together, they had to stand alone.",Some Kind of Wonderful,94006,1584
1585,comedy mystery,clouseau diamond panther pink,Harald Zwart,18.54675,inspect the unexpected.,The Pink Panther 2,838232,1585
1586,horror,coffin cult paranormal rome sacrifice urn witches,Dario Argento,34.145916,what you see does not exist. what you cannot see is truth.,La terza madre,804507,1586
1587,drama thriller war,convict escape escaped nazis prison religion rope spoon train,Robert Bresson,11.859048,,Un condamné à mort s'est échappé,49902,1587
1588,action crime thriller,jail,Isaac Florentine,18.957084,wrongfully accused. unjustly imprisoned. now he's fighting back.,Undisputed II: Last Man Standing,443676,1588
1589,comedy music,african american comedy dark director hip-hop jeep music rap satire spoof wheelchair woman,Tamra Davis,11.449373,"sex, rap and family values?",CB4,106500,1589
1590,adventure animation drama family fantasy,animal based cat cat chase comic crow fight grass human on relationship sequel sword talking tower,Hiroyuki Morita,11.639023,"it’s not so bad being a cat, now is it?",猫の恩返し,347618,1590
1591,drama music mystery romance,blues duel guitar harmonica,Walter Hill,10.852948,where second best never gets a second chance.,Crossroads,90888,1591
1592,adventure animation family fiction science adventure animation family fiction science,alien duringcreditsstinger giant robot alien duringcreditsstinger giant robot,Conrad Vernon,14.243634,"when aliens attack, monsters fight back.",Monsters vs Aliens,892782,1592
1593,action adventure family fantasy,escape island lamp magic sinbad,Nathan H. Juran,11.118379,8th wonder of the screen!,The 7th Voyage of Sinbad,51337,1593
1594,comedy drama romance,cancer doctor romance,Ed Stone,13.534117,a love story with no expectations.,Griffin & Phoenix,460812,1594
1595,adventure comedy,africa safari,Olivier Baroux,10.6678,,Safari,1328642,1595
1596,comedy drama,a cardiomyopathy childhood death death dying female female friend friends friendship mother of of singer young,Garry Marshall,16.179384,some friendships last forever,Beaches,94715,1596
1597,comedy romance,best duringcreditsstinger fishing friend men old,Howard Deutch,11.7129,still yelling. still fighting. still ready for love.,Grumpier Old Men,113228,1597
1598,action drama thriller,film independent,Paul Abascal,12.553403,one good shot deserves another.,Paparazzi,338325,1598
1599,animation comedy family,college conflict duringcreditsstinger father father relationship skateboarding son son sport,Douglas McCarthy,10.368424,,An Extremely Goofy Movie,208185,1599
1600,comedy,high school,Stephen Herek,13.415919,a no-body is about to become a somebody to impress everybody!,Picture This,1076252,1600
1601,drama romance,camp concentration holocaust new writer york,Alan J. Pakula,15.417202,,Sophie's Choice,84707,1601
1602,drama music,african american appearance black black by cameo fame family life music of price real subject tina turner woman,Brian Gibson,14.820883,who needs a heart when a heart can be broken?,What's Love Got to Do with It,108551,1602
1603,adventure animation comedy family romance adventure animation comedy family romance,celebrity dead father first goofy love mother musical pop relationship road singer son trip celebrity dead father first goofy love mother musical pop relationship road singer son trip,Kevin Lima,10.177977,it's the story of a father who couldn't be closer...to driving his son crazy.,A Goofy Movie,113198,1603
1604,crime drama thriller,agent boy break criminal explosion film gang gangster heist infiltrate inmate killer mama's mother noir on prison prison psychopath relationship run shootout son the train undercover unfaithful wife,Raoul Walsh,11.300976,"pick up the pieces folks, jimmy's in action again!",White Heat,42041,1604
1605,horror,african alive ancient ancient archeologist buried buried classic condemned curse egypt eternal excavation goddess horror incantation love man mummy museum priestess reincarnation resurrection scroll sorcerer tomb trance virgin,Karl Freund,12.190044,it comes to life!,The Mummy,23245,1605
1606,drama romance,american butcher crying dance hall italian love maid marriage mother old overbearing teacher,Delbert Mann,11.589081,everybody's raving about,Marty,48356,1606
1607,adventure drama history,1920s doctor english india magistrate mosque,David Lean,11.842837,"david lean, the director of ""doctor zhivago"", ""lawrence of arabia"" and ""the bridge on the river kwai"", invites you on . .",A Passage to India,87892,1607
1608,adventure animation family romance adventure animation family romance adventure animation family romance,aftercreditsstinger aladdin animal east magical middle musical object revenge sequel aftercreditsstinger aladdin animal east magical middle musical object revenge sequel aftercreditsstinger aladdin animal east magical middle musical object revenge sequel,Alan Zaslove,12.099799,the aladdin adventure continues...,The Return of Jafar,107952,1608
1609,horror,abuse abusive brother child church demon demonic dysfunctional evil exorcism family father film house incest independent poltergeist possession possession prequel relationship sex sister,Damiano Damiani,12.10181,don't forget to check under the bed...,Amityville II: The Possession,83550,1609
1610,comedy drama romance,department dream girl janitor liar night roller shift skating store target,Bryan Gordon,11.718412,he took the job that no one wanted... and got the girl that everyone did.,Career Opportunities,101545,1610
1611,comedy fantasy horror,alive animated anthology based buried cockroach comic dead gore halloween living meteor monster on sequence zombie,George A. Romero,10.434018,the most fun you'll ever have... being scared!,Creepshow,83767,1611
1612,action comedy documentary,3d comedy duringcreditsstinger pain stuntman stunts stupidity,Jeff Tremaine,10.997518,don't try this at home,Jackass 3D,1116184,1612
1613,action adventure comedy family,and crime danger day eccentric escapade evil family family good hero heroes heroic laxative mission of power relations relations rescue rivalry save siblings students teachers teaching the the the vigilantism vs ways world young youth,Jon Turteltaub,11.035859,crosses teenage mutant ninja turtles and home alone!,3 Ninjas,103596,1613
1614,action adventure fiction science thriller,arts based cannibal dystopia ex firefly fugitive martial on operative planet reavers series slitting soldier spaceship telepathy throat tv,Joss Whedon,11.919995,can't stop the signal.,Serenity,379786,1614
1615,horror thriller,architect ax based blood blueprint building darkness demolition engineer explosive kidnapping killer murder nightmare novel on sex stabbing suicide tenant tomb,Gilles Paquet-Brenner,15.937321,some secrets are best left buried.,Walled In,1104006,1615
1616,comedy drama,boat conflict death dysfunctional exploding family family family family film in independent secrets,Michael Clancy,11.886845,,Eulogy,349416,1616
1617,family fantasy,based book book children's children's children's creature imagination lying on overflowing perspectives with,Spike Jonze,12.36223,there's one in all of us.,Where the Wild Things Are,386117,1617
1618,action drama romance,titanic,Jean Negulesco,12.90707,titanic in emotion...in spectacle...in climax...in cast!,Titanic,46435,1618
1619,comedy,bondage duringcreditsstinger poker,John Hamburg,12.929653,he needed a best man... he got the worst.,"I Love You, Man",1155056,1619
1620,comedy drama,alcohol angeles audition cinematographer drug film independent infidelity liar los narcissism neurotic nightclub nudity satire sex sociopath theft,Scott Coffey,10.146313,the talent is real. and so are the tears... sometimes.,Ellie Parker,436262,1620
1621,action animation family fiction science,superhero,David Bowers,13.293466,have a blast.,Astro Boy,375568,1621
1622,action adventure comedy fiction science,abduction alien,R. W. Goodwin,10.067125,,Alien Trespass,1122836,1622
1623,crime drama thriller,film independent revenge,Oliver Hirschbiegel,13.465072,"to face the future, they must face the past.",Five Minutes of Heaven,1238291,1623
1624,adventure animation drama fantasy,accident anime bakery baking bicycle broom cat cat clock courier delivery dog female friendship seaside service service talking tower town witch,Hayao Miyazaki,12.220581,"i was feeling blue, but i'm better now.",魔女の宅急便,97814,1624
1625,adventure animation comedy family fiction science adventure animation comedy family fiction science adventure animation comedy family fiction science,alien alien alien duringcreditsstinger flying life-form planet planet saucer spaceship alien alien alien duringcreditsstinger flying life-form planet planet saucer spaceship alien alien alien duringcreditsstinger flying life-form planet planet saucer spaceship,Jorge Blanco,10.44244,something strange is coming to their planet...us!,Planet 51,762125,1625
1626,action drama thriller war,anti bath blood churchill cinema dynamite france german gore guerrilla gun hand ii in jew jew knife masochism mexican nazis occupation of paris persecution sacrifice sadism scalp self semitism standoff swastika violence violence war winston world,Quentin Tarantino,16.89564,once upon a time in nazi occupied france...,Inglourious Basterds,361748,1626
1627,horror thriller,curse engagement evil gore gypsy loan obituary officer psychic psychologist ring work,Sam Raimi,15.809588,"christine brown has a good job, a great boyfriend, and a bright future. but in three days, she's going to hell.",Drag Me to Hell,1127180,1627
1628,comedy,defector farce frame jock nerd up vacation,Joe Roth,10.54375,they're back!,Revenge of the Nerds II: Nerds in Paradise,93857,1628
1629,action crime drama thriller,classic film heist heist jewel noir noir on run the,John Huston,12.86559,the city under the city,The Asphalt Jungle,42208,1629
1630,action comedy crime,eye photographer private whorehouse,Richard Benjamin,12.881025,when a hotshot cop and a wise-guy detective get together... the heat is on!,City Heat,87062,1630
1631,comedy,a adult as bullying child do fake high high identity over school school sports,Burr Steers,11.362762,who says you're only young once?,17 Again,974661,1631
1632,comedy,agent cia cia england hero london spy teen teenage,Kevin Allen,12.59201,adventure is an attitude.,Agent Cody Banks 2: Destination London,358349,1632
1633,action adventure drama thriller,and cat cops drama family mouse police revenge,Renny Harlin,13.591485,survive all 12,12 Rounds,1160368,1633
1634,comedy,comedy comedy live stand-up,Robert Townsend,11.266569,shock has its value.,Eddie Murphy Raw,92948,1634
1635,drama romance,film independent stv suicide,Geoffrey Haley,10.341167,,The Last Word,876233,1635
1636,adventure family,barn deserted horse island poker rescue sport stallion survival training,Carroll Ballard,10.246132,"from the moment he first saw the stallion, he knew it would either destroy him, or carry him where no one had ever been before…",The Black Stallion,78872,1636
1637,comedy music romance,age based based bois boulogne champagne class coming courtesan courtship de differences ice jewelry love memory musical napoleon novel of on on or paris park play playboy reference rink to,Vincente Minnelli,10.36311,thank heaven for gigi,Gigi,51658,1637
1638,drama history war,algerian bomb casbah government independence insurrection military muslim nations resistance revolution torture united,Gillo Pontecorvo,11.322173,the revolt that stirred the world!,La battaglia di Algeri,58946,1638
1639,drama,angeles cello los musical newspaper violin,Joe Wright,11.328316,life has a mind of its own,The Soloist,821642,1639
1640,action crime drama thriller,arts duel female fight fu gang japan kung martial ninja nudity nudity sequel stabbing star sword sword throwing violence,Sam Firstenberg,13.762328,payback is deadly.,Revenge of the Ninja,86192,1640
1641,drama fiction science,artificial base clone cloning dystopia future intelligence isolation moon moon space,Duncan Jones,13.336773,the last place you'd ever expect to find yourself.,Moon,1182345,1641
1642,action animation fiction science,comics dc director powers super superhero woman,Lauren Montgomery,11.040602,superman was born a hero. batman became a hero. but only green lantern was chosen.,Green Lantern: First Flight,1384590,1642
1643,action crime drama mystery thriller,murder prison prisoner,Deran Sarafian,13.90542,,Death Warrant,99385,1643
1644,western,bounty hunt hunter man,Henry Hathaway,12.497833,the strangest trio ever to track a killer,True Grit,65126,1644
1645,western,battle film gunslinger independent rape sequel,Stuart Millar,12.140407,"the man of ""true grit"" is back and look who's got him!",Rooster Cogburn,73636,1645
1646,adventure animation mystery,3d action captain hunt liquor plot reporter riddle sunken treasure treasure treasure,Steven Spielberg,19.201504,"this year, discover how far adventure will take you.",The Adventures of Tintin,983193,1646
1647,adventure comedy,adventure age cavemen circumcision duringcreditsstinger hebrews man prehistoric prehistoric prehistoric slavery stone temple times,Harold Ramis,10.087637,meet your ancestors,Year One,1045778,1647
1648,fiction science,africa alien alien alternate body camp dystopia gang genetics government history internment johannesburg metamorphosis mockumentary mutation prawn racism satire segregation slum south street technology transformation xenophobia,Neill Blomkamp,11.589835,you are not welcome here.,District 9,1136608,1648
1649,war western,cavalry confederate hero standoff war,John Ford,10.313171,john ford's thundering spectacle,The Horse Soldiers,52902,1649
1650,horror thriller,3d animal boat diving diving dolphin florida giant great killer park scuba sea sequel shark shark shark skiing swimming theme trouble water white world,Joe Alves,16.603041,a deadly new attraction.,Jaws 3-D,85750,1650
1651,action adventure animation comedy family,adventure breaking cameo camera cartoon celebrity comedy fourth movie road talking the the to wall,Des McAnuff,11.880936,this summer it's not the same old bull.,The Adventures of Rocky & Bullwinkle,131704,1651
1652,drama war,dunkirk evacuation sacrifice survival,Leslie Norman,11.425006,,Dunkirk,51565,1652
1653,drama,director film independent woman,Jill Sprecher,11.283079,ask yourself if you're really happy.,Thirteen Conversations About One Thing,268690,1653
1654,comedy music,ancient based freedom musical on or owner play rome slave slave sondheim virgin,Richard Lester,10.176281,something for everyone!,A Funny Thing Happened on the Way to the Forum,60438,1654
1655,action thriller,biological explosion runaway train train train weapon,Bob Misiorowski,20.020975,the deadliest disease ever discovered is about to be unleashed on the world.,Derailed,298296,1655
1656,action crime,ambush blackout brutality bus cell child convict gang gunfight jail murder police police prison shootout siege silencer station street survival suspense,John Carpenter,11.881808,l.a.'s deadliest street gang just declared war on the cops.,Assault on Precinct 13,74156,1656
1657,animation drama,based carol charles christmas christmas christmas dickens england eve ghost holiday lesson money novel on scrooge victorian,Robert Zemeckis,12.869273,season's greedings,A Christmas Carol,1067106,1657
1658,comedy drama,england film independent new zealand,Toa Fraser,12.333138,,Dean Spanley,1135968,1658
1659,crime drama,artist con con estafa grifter horse man neo-noir ride suspense track train,Stephen Frears,10.809693,seduction. betrayal. murder. who's conning who?,The Grifters,99703,1659
1660,drama,ambition baby baseball beach boat cake class classroom coma dream fish gift honor lantern lie man marriage office old peace retirement school song swing tea teacher trip water,Yasujirō Ozu,10.009423,isn't life depressing?,東京物語,46438,1660
1661,adventure drama fantasy romance,cinema fang moon vamp vampire werewolf,Chris Weitz,30.121292,the next chapter begins.,The Twilight Saga: New Moon,1259571,1661
1662,fantasy music romance,dancing musical,Vincente Minnelli,12.645217,now bigger than ever in the beauty of color!,Brigadoon,46807,1662
1663,action adventure comedy family fantasy,amelia duringcreditsstinger earhart museum roosevelt smithsonian theodore,Shawn Levy,15.417181,when the lights go off the battle is on.,Night at the Museum: Battle of the Smithsonian,1078912,1663
1664,drama,1960s age california coming flash forward friendship of sport surfing vietnam,John Milius,11.589692,a day will come that is like no other... and nothing that happens after will ever be the same.,Big Wednesday,77235,1664
1665,crime drama horror thriller,dysfunctional family family murder rape revenge swimmer trash white,Dennis Iliadis,13.634766,"if someone hurt someone you love, how far would you go to get revenge?",The Last House on the Left,844708,1665
1666,drama,chimp,Jonathan Kaplan,10.000775,"when the air force assigned jimmy garrett to a top secret project, he didn't know what he was in for. neither did they.",Project X,93793,1666
1667,crime drama thriller,aftercreditsstinger city crash hostage market motorcycle new new stock subway subway subway train tunnel york york,Tony Scott,15.09911,i can't get it out of my head. i'm gonna die today.,The Taking of Pelham 1 2 3,1111422,1667
1668,crime drama thriller,actor angeles blackmail elmore female infidelity leonard los murder nudity porn strippers suspense,John Frankenheimer,15.921964,they shouldn't have blackmailed harry mitchell. he made them pay - in blood...,52 Pick-Up,90567,1668
1669,action crime drama thriller,family film hostage hostage noir suburbia suspense,William Wyler,10.160986,a reign of violence sweeps the screen,The Desperate Hours,47985,1669
1670,comedy drama fantasy,other,Anthony Hopkins,10.627974,,Slipstream,499570,1670
1671,comedy romance,baseball japan,Fred Schepisi,11.950477,he's the biggest thing to hit japan since godzilla!,Mr. Baseball,104926,1671
1672,action comedy action comedy,arts concert grand identity martial master mistaken pianist pianist piano twins arts concert grand identity martial master mistaken pianist pianist piano twins,Tsui Hark,10.222076,twice the action!,双龙会,105399,1672
1673,horror thriller,and based boy cancer cancer child cousin cousin crematorium desecration duringcreditsstinger experimental flashback funeral funeral hallucination haunting hide home house in in incinerator isolated mortuary occult on oncology parlor peril relationship reverend rosary seek story told treatment true ward,Peter Cornwell,10.80374,some things cannot be explained.,The Haunting in Connecticut,492044,1673
1674,comedy,bag chapel duringcreditsstinger elevator hangover head hit iron las loss lost memory night over stag tiger tire underwear vegas weekend with,Todd Phillips,23.947351,some guys just can't handle vegas.,The Hangover,1119646,1674
1675,action adventure fantasy,3d ancient based beast folklore gods greece greek hades kraken medusa monster mythological mythology mythology myths on or perseus sea zeus,Louis Leterrier,11.972347,titans will clash.,Clash of the Titans,800320,1675
1676,comedy family,basement children divorce,Harry Winer,12.297782,there's more than one way to keep a marriage together...,House Arrest,116571,1676
1677,animation family fiction science animation family fiction science animation family fiction science animation family fiction science,adventure creature dinosaur prehistoric prehistoric prehistoric prehistoric times adventure creature dinosaur prehistoric prehistoric prehistoric prehistoric times adventure creature dinosaur prehistoric prehistoric prehistoric prehistoric times adventure creature dinosaur prehistoric prehistoric prehistoric prehistoric times,Simon Wells,13.58903,wish for a dinosaur and watch all your dreams come true.,We're Back! A Dinosaur's Story,108526,1677
1678,drama horror mystery,by car crash director haunted loss memory metaphor past suspense the woman,Marina de Van,10.681024,,Ne te retourne pas,1075113,1678
1679,western,bandit bürgerkrieg cavalry confederate mexican revolution revolution,Andrew V. McLaglen,10.975431,across 2000 miles of savage wasteland... they lived a thundering adventure that rocked two nations!,The Undefeated,65150,1679
1680,action adventure drama,africa ape chimpanzee elephant lion man pre-code tarzan wildlife,Cedric Gibbons,12.73076,johnny weismuller is back again!,Tarzan and His Mate,25862,1680
1681,drama thriller,classic film noir noir wrestling,Jules Dassin,11.80556,,Night and the City,42788,1681
1682,horror,attack chainsaw remake zombie,Tom Savini,10.644165,there is a fate worse than death.,Night of the Living Dead,100258,1682
1683,horror thriller,suspense,William Malone,10.459653,where dreams end and nightmares begin.,Parasomnia,922547,1683
1684,comedy,down family house off parent rivalry run suffering time vacation,Carl Reiner,12.372036,life is a beach.,Summer Rental,90098,1684
1685,comedy drama romance,musical,Aditya Chopra,34.457024,come... fall in love,Dilwale Dulhania Le Jayenge,112870,1685
1686,action crime drama thriller,corruption criminal infiltration subway,James Gray,11.162383,he's the target of the most merciless family in new york. his own.,The Yards,138946,1686
1687,drama romance drama romance,ballet ballet dancer love lover music new ballet ballet dancer love lover music new,Michael Powell,10.44551,"dance she did, and dance she must - between her two loves",The Red Shoes,40725,1687
1688,comedy drama,age coming daughter drug dysfunctional family irresponsible money mother of parent problems relationship summer teenager,John Stockwell,11.295267,life without a road map...,Middle of Nowhere,1032817,1688
1689,action adventure comedy family,based cartoon cyborg gadget on sequel,Alex Zamm,10.923985,inspect the unexpected.,Inspector Gadget 2,301454,1689
1690,action fiction horror mystery science thriller,dystopia mission mutation spaceship survival,Christian Alvart,10.391425,don't fear the end of the world. fear what happens next.,Pandorum,1188729,1690
1691,comedy romance,aftercreditsstinger beautiful couple couples duringcreditsstinger française french island married polynesia polynésie tahiti therapy tropical woman yoga,Peter Billingsley,15.152577,it may be paradise... but it's no vacation.,Couples Retreat,1078940,1691
1692,action fantasy fiction horror science thriller action fantasy fiction horror science thriller,beautiful creatures decapitation dystopia epidemic experiment female motion night nudity rain scene scientist slow sunlight sunrise undead vampire waitress woman beautiful creatures decapitation dystopia epidemic experiment female motion night nudity rain scene scientist slow sunlight sunrise undead vampire waitress woman,Michael Spierig,10.038613,"in 2019, the most precious natural resource... is us.",Daybreakers,433362,1692
1693,comedy horror,a aftercreditsstinger amusement apocalypse arm bitten blood body body clowns count d.c. dead disposing fear horror loner of of on park parody post-apocalyptic relationship road sister sister splatter survival survival the trip twinkie violence washington zombie zombie zombification,Ruben Fleischer,11.063029,this place is so dead,Zombieland,1156398,1693
1694,comedy drama romance,angeles architect date fate fight friends gallery heartache ikea interview jealousy los love party sex sister summer year,Marc Webb,16.376657,it was almost like falling in love.,(500) Days of Summer,1022603,1694
1695,comedy,callboy city gigolo party player seduction sex,David Mackenzie,11.219086,it's a business doing pleasure.,Spread,1186370,1695
1696,action fiction science thriller,clone dystopia,Jonathan Mostow,16.211937,how do you save humanity when the only thing that's real is you?,Surrogates,986263,1696
1697,comedy horror,bloodthirstiness candlelight demon director duringcreditsstinger gore high horror murder party school sexual slumber succubus vigil woman,Karyn Kusama,13.483131,she's evil... and not just high school evil.,Jennifer's Body,1131734,1697
1698,action adventure fantasy fiction science,3d affair alien alien and anti battle cgi clash colony culture future futuristic love marine mind planet power relations romance society soldier soul space space space space travel tribe war war,James Cameron,185.070892,enter the world of pandora.,Avatar,499549,1698
1699,crime drama thriller,adultress clock delirium falls fear film guide hitchcockian honeymoon infidelity morgue murder niagara noir postcard pursuit screaming self-defense tour tower unconsciousness waterfall,Henry Hathaway,14.605464,a raging torrent of emotion that even nature can't control!,Niagara,46126,1699
1700,comedy,act cannabis dancer desire double driving endo exotic ganja hispanic institution joint limousine lust male marijuana marijuana marijuana mental muggle nudity pipe racism sexual smoking stoned stoned while,Tommy Chong,11.389252,the story of two enterprising young men who make an amazing amount of money selling ice cream.,Nice Dreams,82163,1700
1701,comedy drama romance,date film high independent prom school,Brian Hecker,11.561666,,Bart Got a Room,472050,1701
1702,crime drama,addiction assignment dealer drug investigation love paranoia sex texas theft,Lili Fini Zanuck,10.584954,how far do they go before they've gone too far?,Rush,102820,1702
1703,comedy drama,airplane austin automobile bonding dusty film firework flying independent male movie party road skydiving stunt surprise texas trip,Kevin Reynolds,11.350645,,Fandango,89126,1703
1704,animation family animation family,3d adoptive ballet cattivissimo daughter despicable doctor dream duringcreditsstinger evil father father girl intelligent kids life's little minions mother orphan orphanage relationship relationship rivalry son stealing supervillain tomboy 3d adoptive ballet cattivissimo daughter despicable doctor dream duringcreditsstinger evil father father girl intelligent kids life's little minions mother orphan orphanage relationship relationship rivalry son stealing supervillain tomboy,Pierre Coffin,22.274502,superbad. superdad.,Despicable Me,1323594,1704
1705,action adventure drama,car formula one race racing,John Frankenheimer,10.75236,cinerama sweeps you into a drama of speed and spectacle!,Grand Prix,60472,1705
1706,action comedy drama music western,mining prospector,Joshua Logan,10.648872,stake your claim to the musical goldmine of '69!,Paint Your Wagon,64782,1706
1707,adventure mystery thriller,based bermuda caribbean diving diving drug eel explosion female film independent morphine novel nudity ocean on scuba shark shipwreck suspense treasure underwater,Peter Yates,10.507151,is anything worth the terror of ... the deep.,The Deep,75925,1707
1708,action movie tv thriller,death general mercenary russian scientist scientist soviet train train,David Jackson,12.895711,it's die hard at 90 miles an hour!,Death Train,106689,1708
1709,action fiction science thriller action fiction science thriller,blind book dystopia faith post-apocalyptic blind book dystopia faith post-apocalyptic,Albert Hughes,14.39853,some will kill to have it. he will kill to protect it.,The Book of Eli,1037705,1709
1710,action adventure fiction science,artificial autocracy computer computer deception duel dystopia identity intelligence light motorcycle neon program secret,Joseph Kosinski,21.259,the game has changed.,TRON: Legacy,1104001,1710
1711,action adventure,ages and archer arrow bow england forest hood king knight medieval middle of robin sherwood,Ridley Scott,10.56812,"rise and rise again, until lambs become lions.",Robin Hood,955308,1711
1712,adventure drama,duringcreditsstinger dystopia paternity post-apocalyptic,John Hillcoat,14.958098,in a moment the world changed forever.,The Road,898367,1712
1713,action,angeles arts fu fu karate kung kung los martial master,Tsui Hark,13.313825,,龍行天下,97775,1713
1714,adventure comedy family fantasy fiction science,action alien and animation beforecreditsstinger comedy duringcreditsstinger live,John Schultz,11.618472,the aliens vs. the pearsons,Aliens in the Attic,775552,1714
1715,drama romance,family florist relationships,Michael Goldenberg,10.412194,he gave her flowers. she gave him a chance.,Bed of Roses,115644,1715
1716,adventure animation family,alaska attack bear dog dog dog-sledding frozen goose lake race sled wolf,Simon Wells,12.140733,part dog. part wolf. all hero.,Balto,112453,1716
1717,action crime drama thriller,boss figure historical mafia mobster,Michael Karbelnikoff,12.511561,they didn't take orders...they took over.,Mobsters,102460,1717
1718,animation comedy family animation comedy family,alien cloning spaceship alien cloning spaceship,Roberts Gannaway,11.193451,,Leroy & Stitch,486761,1718
1719,comedy drama romance,dream,Wayne Wang,12.593734,a story of a mother who knows best... and a daughter who knows better.,Anywhere But Here,149691,1719
1720,comedy drama romance comedy drama romance,addict battlefield bully enemy fantasy high school sister strategy teenager addict battlefield bully enemy fantasy high school sister strategy teenager,Kyle Rankin,10.536668,"when you're 17, every day is war.",The Battle of Shaker Heights,357470,1720
1721,drama fiction mystery science,corporations cyberpunk dipping female film future independent near nudity nudity on scene sex skinny top woman,Abel Ferrara,10.255215,no possession is sacred.  no secret is safe.,New Rose Hotel,133122,1721
1722,drama horror,abuse adultery affair affair breakdown crisis domestic domestic doppelganger extramarital germany gore hysteria illness investigation killer marriage mental monster motorcycle murder nasty police serial teacher video violence,Andrzej Żuławski,10.505671,murder. evil. infidelity. madness.,Possession,82933,1722
1723,action adventure fiction science,arts blood combat desert film independent martial post-apocalyptic revenge sport violence,David Webb Peoples,10.3371,when juggers play there is only one way to live - the hard way!,The Blood of Heroes,94764,1723
1724,comedy romance,artist girl mayor motel sketch small town vermont,Mark Herman,10.284616,the problem every man dreams of... a choice.,Hope Springs,314431,1724
1725,comedy drama romance,longing marriage motel pregnancy,Stephen Belber,12.459106,some moments just feel right.,Management,1082853,1725
1726,drama,brighton county cup derby england leeds management soccer soccer sport team united,Tom Hooper,11.545627,they love me for what i'm not... ...they hate me for what i am.,The Damned United,1226271,1726
1727,comedy drama,politics,Michael Ritchie,11.862375,too handsome. too young. too liberal. doesn't have a chance. he's perfect!,The Candidate,68334,1727
1728,drama horror thriller,film independent,Ariel Vromen,10.488933,her visions are beyond your worst fears...,Danika,469062,1728
1729,action drama thriller,fight fight kick prison tournament,Ben Ramsey,12.673118,destroy your enemy,Blood and Bone,346631,1729
1730,horror mystery thriller,suspense,Nicholaus Goossen,14.596309,some urban legends are real,The Shortcut,1243955,1730
1731,drama romance,cuba cuban gambler revolution,Sydney Pollack,10.10753,a gambler who trusted no one. a woman who risked everything. and a passion that brought them together in the most dangerous city in the world.,Havana,99747,1731
1732,western,belt doc earp figure guns historical holliday two wyatt,John Sturges,10.460298,the wildest gunfight in the history of the west !,Gunfight at the O.K. Corral,50468,1732
1733,action adventure comedy,aftercreditsstinger animated camera character's fight flashback girl girlfriend hipster of point shot unconsciousness underage vegan view whipping,Edgar Wright,13.793301,get the hot girl. defeat her evil exes. hit love where it hurts.,Scott Pilgrim vs. the World,446029,1733
